Episode,Reward,Timesteps
1,7.0,60
2,5.3,137
3,-72.5,647
4,8.6,686
5,-240.0,1686
6,3.3,1753
7,16.0,1778
8,-138.0,2343
9,-35.6,2549
10,-171.1,3150
11,-173.3,3888
12,5.8,3975
13,3.3,4062
14,1.5,4177
15,-6.2,4319
16,-5.5,4454
17,13.0,4479
18,17.0,4499
19,-10.8,4602
20,-18.7,4734
21,-311.0,5734
22,-49.8,5992
23,-12.2,6154
24,4.2,6232
25,-9.7,6364
26,18.8,6371
27,-3.2,6463
28,-210.5,7463
29,-224.5,8463
30,-204.0,9463
31,-189.0,10463
32,-202.0,11463
33,-182.0,12463
34,-145.0,13463
35,-180.0,14463
36,-123.5,15463
37,-121.0,16463
38,-115.0,17463
39,-121.0,18463
40,-142.5,19463
41,10.8,19490
42,-479.5,20490
43,-338.5,21490
44,-352.5,22490
45,-48.5,22760
46,15.6,22779
47,-332.5,23779
48,5.1,23828
49,-173.2,24560
50,-237.5,25560
51,19.0,25570
52,-459.5,26570
53,-173.2,27182
54,-458.5,28182
55,-429.0,29182
56,-401.0,30182
57,-374.5,31182
58,-336.0,32182
59,-327.5,33182
60,-263.0,34182
61,-257.5,35182
62,-225.0,36182
63,-207.0,37182
64,-178.5,38182
65,-9.9,38406
66,-284.0,39406
67,19.6,39410
68,0.7,39473
69,-136.5,40473
70,-134.0,41473
71,-133.0,42473
72,-125.0,43473
73,-109.5,44473
74,-107.0,45473
75,-105.5,46473
76,-9.0,46538
77,-434.0,47538
78,-359.0,48538
79,-315.5,49538
80,-351.0,50538
81,-290.5,51538
82,15.2,51556
83,-269.0,52556
84,-271.0,53556
85,-17.2,53658
86,4.5,53708
87,-135.2,54205
88,17.6,54224
89,-261.5,55224
90,12.6,55288
91,-182.0,56288
92,-185.5,57288
93,-166.5,58288
94,-161.5,59288
95,-151.0,60288
96,-137.5,61288
97,-127.5,62288
98,-25.5,62553
99,13.4,62569
100,7.5,62639
101,13.4,62670
102,17.8,62687
103,-92.1,63183
104,-0.1,63234
105,-346.5,64234
106,-307.0,65234
107,-328.0,66234
108,-278.5,67234
109,-281.0,68234
110,-100.4,68713
111,-69.8,69236
112,1.2,69379
113,-116.0,70379
114,14.1,70403
115,-249.5,71403
116,13.0,71418
117,8.7,71471
118,-133.5,72471
119,-120.5,73471
120,14.2,73504
121,-202.0,74504
122,-191.0,75504
123,-162.5,76504
124,16.8,76526
125,-15.5,76636
126,-37.9,76780
127,-183.5,77780
128,-311.0,78780
129,6.6,78854
130,-79.8,79407
131,11.8,79474
132,6.3,79526
133,19.1,79530
134,17.1,79554
135,10.2,79617
136,6.8,79689
137,19.5,79694
138,-25.1,79800
139,-332.5,80800
140,-20.6,80981
141,18.6,80995
142,-63.8,81483
143,10.9,81529
144,19.1,81538
145,16.2,81571
146,18.4,81582
147,15.3,81614
148,8.7,81652
149,9.7,81685
150,-18.0,81830
151,10.6,81889
152,14.2,81947
153,7.9,82008
154,-198.0,83008
155,18.4,83019
156,11.9,83080
157,16.2,83118
158,17.8,83130
159,17.7,83148
160,3.1,83187
161,-19.2,83359
162,16.8,83381
163,12.6,83445
164,14.7,83478
165,-201.0,84478
166,17.8,84485
167,15.9,84511
168,13.4,84547
169,15.6,84581
170,18.8,84593
171,-22.7,84725
172,-26.6,84951
173,16.6,84975
174,-125.0,85415
175,14.1,85469
176,-204.5,86469
177,-175.0,87469
178,6.6,87498
179,15.7,87521
180,19.2,87529
181,-63.9,87768
182,17.3,87785
183,16.7,87798
184,-60.9,88177
185,16.0,88202
186,13.0,88267
187,8.7,88335
188,17.2,88353
189,17.9,88369
190,17.6,88378
191,-145.5,89378
192,15.4,89409
193,0.3,89466
194,14.9,89482
195,-9.5,89627
196,-9.8,89810
197,-16.6,89976
198,-0.7,90148
199,17.8,90155
200,12.5,90185
201,19.0,90190
202,15.2,90213
203,17.1,90227
204,17.3,90244
205,-21.6,90450
206,11.6,90504
207,14.8,90556
208,16.7,90584
209,19.7,90587
210,17.7,90605
211,-105.0,91605
212,16.4,91631
213,-181.0,92631
214,17.6,92655
215,14.3,92672
216,-14.7,92794
217,5.4,92870
218,15.2,92908
219,17.6,92932
220,16.5,92967
221,16.4,92978
222,16.5,93003
223,19.4,93009
224,-190.5,94009
225,16.8,94021
226,-5.5,94121
227,15.5,94136
228,5.8,94198
229,17.2,94226
230,14.8,94278
231,16.3,94315
232,19.7,94318
233,17.5,94338
234,17.0,94348
235,16.4,94369
236,9.7,94417
237,7.7,94450
238,6.4,94551
239,17.2,94579
240,15.4,94620
241,18.3,94637
242,19.7,94640
243,12.7,94668
244,19.0,94678
245,14.8,94700
246,-11.9,94794
247,18.1,94808
248,13.2,94846
249,14.6,94890
250,18.8,94902
251,15.3,94944
252,18.4,94950
253,17.7,94963
254,19.4,94969
255,18.2,94982
256,11.4,95018
257,16.5,95033
258,6.2,95096
259,14.2,95144
260,16.8,95176
261,18.7,95184
262,19.7,95187
263,17.9,95208
264,15.4,95239
265,18.2,95252
266,-2.3,95320
267,12.3,95347
268,11.2,95410
269,18.8,95422
270,12.4,95488
271,14.5,95533
272,19.0,95538
273,16.9,95564
274,19.4,95570
275,19.0,95580
276,4.7,95638
277,15.9,95654
278,-1.0,95774
279,11.8,95831
280,-168.6,96512
281,18.5,96527
282,19.7,96530
283,15.9,96551
284,15.2,96584
285,18.0,96599
286,18.7,96607
287,-125.3,97065
288,12.0,97115
289,14.4,97161
290,-132.2,97743
291,13.5,97788
292,19.6,97792
293,16.5,97812
294,19.6,97816
295,17.8,97828
296,17.5,97843
297,17.9,97854
298,11.4,97925
299,17.2,97948
300,5.6,98032
301,14.7,98070
302,18.4,98076
303,-31.9,98270
304,15.0,98290
305,-138.7,98987
306,17.5,98997
307,17.9,99008
308,13.2,99051
309,13.0,99106
310,-52.2,99458
311,18.1,99477
312,19.6,99481
313,17.7,99494
314,19.6,99498
315,17.2,99511
316,17.1,99525
317,17.3,99537
318,11.0,99592
319,17.2,99620
320,16.0,99655
321,17.3,99682
322,19.6,99686
323,16.9,99707
324,17.6,99716
325,15.2,99734
326,15.5,99764
327,19.1,99773
328,-2.4,99877
329,13.4,99913
330,8.8,100005
331,18.7,100013
332,19.7,100016
333,16.1,100035
334,18.0,100050
335,19.2,100058
336,18.1,100067
337,11.7,100095
338,17.2,100118
339,17.2,100146
340,17.6,100170
341,16.7,100193
342,19.0,100198
343,18.9,100209
344,19.4,100215
345,-139.5,101215
346,17.8,101227
347,15.9,101243
348,17.7,101256
349,8.2,101339
350,17.0,101369
351,15.6,101413
352,16.9,101439
353,19.7,101442
354,18.3,101454
355,19.0,101464
356,17.8,101476
357,18.6,101485
358,12.3,101512
359,11.6,101581
360,18.4,101597
361,16.6,101631
362,5.5,101701
363,19.0,101706
364,18.9,101717
365,18.8,101724
366,-153.5,102724
367,19.2,102732
368,19.1,102741
369,14.7,102764
370,16.0,102804
371,16.8,102831
372,18.4,102847
373,17.3,102874
374,19.7,102877
375,18.7,102890
376,19.4,102896
377,12.0,102936
378,15.3,102953
379,13.3,102975
380,8.2,103063
381,17.8,103085
382,17.4,103111
383,16.1,103140
384,19.0,103145
385,6.3,103202
386,19.6,103206
387,18.9,103217
388,17.1,103236
389,16.3,103253
390,12.8,103305
391,18.0,103325
392,16.0,103360
393,15.5,103380
394,19.6,103384
395,18.5,103399
396,18.6,103408
397,19.0,103418
398,19.1,103427
399,14.9,103448
400,7.2,103546
401,17.4,103572
402,17.2,103600
403,16.5,103620
404,19.7,103623
405,18.3,103635
406,19.4,103641
407,18.5,103656
408,18.9,103662
409,17.7,103675
410,15.0,103715
411,18.2,103733
412,17.8,103755
413,16.9,103771
414,19.0,103776
415,17.5,103796
416,18.0,103811
417,15.8,103828
418,16.7,103841
419,15.3,103858
420,9.8,103925
421,17.2,103953
422,16.2,103991
423,16.7,104014
424,19.7,104017
425,16.9,104033
426,19.2,104041
427,17.2,104059
428,18.1,104068
429,19.1,104077
430,7.8,104164
431,19.0,104174
432,16.6,104208
433,18.9,104219
434,19.6,104223
435,18.1,104242
436,19.0,104247
437,18.0,104262
438,18.8,104269
439,17.9,104280
440,14.0,104340
441,15.8,104377
442,17.4,104403
443,14.9,104419
444,19.7,104422
445,18.1,104436
446,19.6,104440
447,16.2,104463
448,17.3,104475
449,18.3,104487
450,16.6,104521
451,18.0,104541
452,18.4,104557
453,18.3,104574
454,19.6,104578
455,18.5,104588
456,19.4,104594
457,19.2,104602
458,19.5,104607
459,18.5,104617
460,12.3,104669
461,18.6,104683
462,18.0,104703
463,18.5,104718
464,19.7,104721
465,16.5,104746
466,19.6,104750
467,19.0,104760
468,-164.1,105201
469,18.5,105211
470,11.0,105281
471,18.2,105299
472,18.4,105315
473,11.3,105347
474,19.7,105350
475,18.9,105361
476,19.0,105366
477,17.2,105384
478,19.5,105389
479,19.1,105398
480,14.0,105448
481,18.4,105464
482,12.2,105537
483,16.9,105553
484,19.7,105556
485,18.9,105567
486,18.8,105579
487,19.0,105589
488,18.9,105595
489,17.9,105611
490,9.4,105672
491,15.6,105711
492,12.6,105780
493,18.1,105799
494,19.7,105802
495,17.9,105813
496,19.6,105817
497,19.2,105825
498,19.5,105830
499,17.1,105844
500,10.6,105888
501,13.6,105932
502,16.6,105966
503,13.7,105999
504,19.7,106002
505,17.9,106013
506,19.6,106017
507,17.6,106031
508,18.7,106039
509,18.5,106049
510,2.0,106109
511,18.2,106127
512,16.6,106161
513,18.1,106180
514,19.6,106184
515,17.5,106199
516,18.4,106215
517,19.2,106223
518,18.1,106232
519,17.7,106245
520,15.4,106286
521,18.8,106298
522,18.2,106316
523,14.3,106343
524,19.7,106346
525,18.5,106361
526,18.6,106370
527,18.6,106379
528,18.6,106388
529,17.3,106400
530,15.2,106443
531,17.8,106465
532,-15.4,106604
533,16.9,106630
534,19.6,106634
535,19.1,106643
536,19.6,106647
537,16.8,106664
538,19.4,106670
539,18.9,106681
540,14.6,106715
541,18.6,106729
542,17.6,106748
543,14.9,106769
544,19.7,106772
545,18.5,106782
546,19.4,106788
547,17.4,106804
548,18.7,106812
549,18.9,106823
550,12.8,106875
551,18.2,106893
552,17.6,106917
553,18.9,106928
554,19.7,106931
555,16.3,106948
556,17.6,106967
557,19.2,106975
558,19.3,106982
559,-0.1,107053
560,16.6,107082
561,16.8,107114
562,16.2,107147
563,16.9,107173
564,19.6,107177
565,18.9,107188
566,19.4,107194
567,19.4,107200
568,19.5,107205
569,17.9,107216
570,15.2,107259
571,19.0,107269
572,16.4,107305
573,18.3,107317
574,19.7,107320
575,18.7,107333
576,19.6,107337
577,19.4,107343
578,18.9,107349
579,15.9,107365
580,15.0,107405
581,19.0,107415
582,17.8,107432
583,16.9,107448
584,19.7,107451
585,5.5,107506
586,19.2,107514
587,16.4,107545
588,19.5,107550
589,17.9,107566
590,12.8,107623
591,18.6,107637
592,17.2,107665
593,17.3,107682
594,18.4,107698
595,19.1,107707
596,19.2,107715
597,19.0,107725
598,19.3,107732
599,18.9,107743
600,12.4,107799
601,16.6,107828
602,18.2,107846
603,19.1,107855
604,19.7,107858
605,17.5,107873
606,19.6,107877
607,18.6,107886
608,19.3,107893
609,18.9,107904
610,15.8,107941
611,17.4,107967
612,18.8,107979
613,18.3,107991
614,19.7,107994
615,18.7,108007
616,19.4,108013
617,16.8,108030
618,19.5,108035
619,17.3,108047
620,16.0,108072
621,18.4,108088
622,18.4,108104
623,14.3,108131
624,19.7,108134
625,-6.5,108219
626,19.4,108225
627,18.2,108238
628,15.9,108269
629,18.9,108280
630,16.8,108312
631,15.4,108348
632,19.0,108358
633,16.9,108374
634,18.4,108380
635,17.7,108393
636,19.6,108397
637,19.2,108405
638,19.3,108412
639,18.5,108427
640,16.6,108456
641,18.8,108468
642,17.0,108498
643,15.5,108528
644,18.1,108547
645,14.5,108582
646,19.6,108586
647,19.0,108596
648,18.9,108607
649,16.9,108628
650,15.0,108658
651,7.2,108736
652,17.8,108758
653,18.7,108771
654,19.7,108774
655,17.7,108787
656,19.2,108795
657,18.6,108804
658,19.1,108813
659,15.5,108828
660,18.4,108844
661,19.2,108852
662,17.8,108874
663,18.9,108885
664,19.7,108888
665,15.7,108916
666,16.6,108950
667,19.4,108956
668,19.5,108961
669,18.9,108972
670,13.0,109022
671,17.8,109039
672,18.8,109051
673,17.7,109074
674,19.7,109077
675,17.5,109092
676,19.4,109098
677,18.6,109107
678,17.9,109118
679,18.9,109129
680,5.4,109210
681,18.4,109221
682,18.4,109237
683,18.5,109252
684,19.6,109256
685,17.9,109272
686,18.6,109286
687,19.2,109294
688,19.5,109299
689,19.1,109308
690,16.8,109335
691,18.4,109351
692,16.8,109383
693,18.7,109391
694,-252.5,110391
695,19.6,110395
696,17.5,110410
697,19.6,110414
698,19.4,110420
699,18.3,110432
700,17.5,110452
701,15.0,110487
702,18.8,110499
703,18.4,110515
704,18.1,110529
705,19.7,110532
706,19.1,110541
707,19.6,110545
708,19.4,110551
709,18.5,110561
710,18.3,110573
711,15.2,110606
712,18.8,110618
713,18.4,110634
714,18.7,110647
715,19.7,110650
716,18.5,110665
717,18.2,110678
718,18.2,110691
719,18.9,110697
720,18.5,110707
721,15.2,110750
722,18.8,110762
723,18.2,110780
724,17.3,110802
725,19.6,110806
726,18.3,110818
727,19.2,110826
728,18.8,110838
729,18.1,110852
730,18.9,110863
731,16.4,110889
732,17.8,110906
733,18.6,110920
734,17.9,110941
735,19.7,110944
736,18.1,110958
737,19.4,110964
738,18.6,110973
739,19.5,110978
740,18.5,110988
741,16.2,111026
742,17.4,111042
743,17.8,111064
744,17.1,111088
745,19.7,111091
